title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Focal self-attention for local-global interactions in vision transformers,"J Yang, C Li, P Zhang, X Dai, B Xiao, L Yuan…",2021,702,"… In this paper, we present focal self-attention, a new mechanism that incorporates both … self-attention, we propose a new variant of Vision Transformer models, called Focal Transformer…",xRpYw7Ays-8J,"J Yang, C Li, P Zhang, X Dai, B Xiao, L Yuan… - arXiv preprint arXiv …, 2021 - arxiv.org",[],https://arxiv.org/abs/2107.00641,unknown,unknown
Uniformer: Unifying convolution and self-attention for visual recognition,"K Li, Y Wang, J Zhang, P Gao, G Song…",2023,757,"… transFormer (UniFormer), which can seamlessly integrate the merits of convolution and self-attention in a concise transformer … We take the well-known Vision Transformers (ViTs) in both …",v0r-sF9CwAQJ,"K Li, Y Wang, J Zhang, P Gao, G Song… - … on Pattern Analysis …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10143709/,unknown,unknown
Lite vision transformer with enhanced self-attention,"C Yang, Y Wang, J Zhang, H Zhang…",2022,205,"… We suspect that the power of their self-attention mechanism is limited in shallower … Vision Transformer (LVT), a novel light-weight transformer network with two enhanced self-attention …",OEMusMOjJhYJ,"C Yang, Y Wang, J Zhang, H Zhang… - … on computer vision …, 2022 - openaccess.thecvf.com",[],http://openaccess.thecvf.com/content/CVPR2022/html/Yang_Lite_Vision_Transformer_With_Enhanced_Self-Attention_CVPR_2022_paper.html,unknown,unknown
Slide-transformer: Hierarchical vision transformer with local self-attention,"X Pan, T Ye, Z Xia, S Song…",2023,167,"… Vision Transformer Transformer and the self-attention mechanism have shown great progress in … [5, 29] and successfully applied to vision tasks thanks to the pioneering work of Vision …",LNfrZoIP8egJ,"X Pan, T Ye, Z Xia, S Song… - … on computer vision and …, 2023 - openaccess.thecvf.com",[],http://openaccess.thecvf.com/content/CVPR2023/html/Pan_Slide-Transformer_Hierarchical_Vision_Transformer_With_Local_Self-Attention_CVPR_2023_paper.html,unknown,unknown
Cas-vit: Convolutional additive self-attention vision transformers for efficient mobile applications,"T Zhang, L Li, Y Zhou, W Liu, C Qian…",2026,151,"… Abstract—Vision Transformers (ViTs) mark a revolutionary … : Convolutional Additive Self-attention Vision Transformers, to … We introduce Convolutional Additive Self-attention(CAS) block …",hW_PMgYIKxIJ,"T Zhang, L Li, Y Zhou, W Liu, C Qian… - … on Image Processing, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11363151/,unknown,unknown
Vision transformer with deformable attention,"Z Xia, X Pan, S Song, LE Li…",2022,1381,"… novel deformable self-attention module, where the positions of key and value pairs in self-attention are selected in a data-dependent way. This flexible scheme enables the self-attention …",KYwPK25Z3ZsJ,"Z Xia, X Pan, S Song, LE Li… - … on computer vision and …, 2022 - openaccess.thecvf.com",[],https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Vision_Transformer_With_Deformable_Attention_CVPR_2022_paper.html?ref=https://githubhelp.com,unknown,unknown
Elsa: Enhanced local self-attention for vision transformer,"J Zhou, P Wang, F Wang, Q Liu, H Li, R Jin",2021,61,"… , we design a new local self-attention module that surpasses both the LSA in Swin Transformer and dynamic filters. This is accomplished with our enhanced local self-attention (ELSA), …",16H3ul8v8ZAJ,"J Zhou, P Wang, F Wang, Q Liu, H Li, R Jin - arXiv preprint arXiv …, 2021 - arxiv.org",[],https://arxiv.org/abs/2112.12786,unknown,unknown
Local-to-global self-attention in vision transformers,"J Li, Y Yan, S Liao, X Yang, L Shao",2021,62,"… in self-attention modules of Vision Transformers and propose a local-to-global multi-path mechanism in self-attention, which we refer to as the LG-Transformer… connected Transformers [2…",HWVvUGDaOMkJ,"J Li, Y Yan, S Liao, X Yang, L Shao - arXiv preprint arXiv:2107.04735, 2021 - arxiv.org",[],https://arxiv.org/abs/2107.04735,unknown,unknown
Refiner: Refining self-attention for vision transformers,"D Zhou, Y Shi, B Kang, W Yu, Z Jiang, Y Li…",2021,101,… transformers (BERT) by a large margin. Though refiner is limited to improving diversity of the selfattention … works on understanding and further improving the self-attention mechanism. …,ZYIefC4_aXIJ,"D Zhou, Y Shi, B Kang, W Yu, Z Jiang, Y Li… - arXiv preprint arXiv …, 2021 - arxiv.org",[],https://arxiv.org/abs/2106.03714,unknown,unknown
Plg-vit: Vision transformer with parallel local and global self-attention,"N Ebert, D Stricker, O Wasenmüller",2023,44,"… The structure was inspired by the original transformer-encoder block [7,8], but we replaced standard multihead self-attention with a parallel local-global self-attention operation. This …",GohFTowiGWcJ,"N Ebert, D Stricker, O Wasenmüller - Sensors, 2023 - mdpi.com",[],https://www.mdpi.com/1424-8220/23/7/3447,unknown,unknown
